0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:09 +0530] "GET /shoppingCart/resources/images/cakes/img/pastel-cake-image.jpg HTTP/1.1" 200 32308
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:09 +0530] "GET /shoppingCart/resources/images/cakes/img/c16.jpg HTTP/1.1" 200 91232
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:10 +0530] "GET /shoppingCart/resources/images/cakes/img/c14.jpg HTTP/1.1" 200 76022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:10 +0530] "GET /shoppingCart/resources/images/cakes/img/c2.jpg HTTP/1.1" 200 108615
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:10 +0530] "GET /shoppingCart/resources/images/cakes/img/c8.jpg HTTP/1.1" 200 68547
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:10 +0530] "GET /shoppingCart/resources/images/cakes/img/Cake-choco.jpg HTTP/1.1" 200 116741
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:10 +0530] "GET /shoppingCart/resources/images/cakes/img/c3.jpg HTTP/1.1" 200 98232
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/home HTTP/1.1" 200 6594
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c13.jpg HTTP/1.1" 200 56868
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/resources/images/cakes/img/b1.png HTTP/1.1" 200 468609
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/resources/images/cakes/img/pastel-cake-image.jpg HTTP/1.1" 200 32308
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c16.jpg HTTP/1.1" 200 91232
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c2.jpg HTTP/1.1" 200 108615
0:0:0:0:0:0:0:1 - - [05/Apr/2017:13:31:13 +0530] "GET /shoppingCart/resources/images/cakes/img/c8.jpg HTTP/1.1" 200 68547
